Name,Website,Feed,Rating,Category,Frequency,Length,Warnings
<a href="#99pi">99 Invisible</a>,<a href="http://99percentinvisible.org/">(website)</a>, <a href="http://feeds.99percentinvisible.org/99percentinvisible">(feed)</a>,2,Stories,weekly,30,
A State of Trance Official Podcast,<a href="http://www.astateoftrance.com/podcasts/">(website)</a>, <a href="http://podcast.armadamusic.com/asot/podcast.xml">(feed)</a>,1,Music,weekly,30,Language
<a href="#alice">Alice Isn't Dead</a>,<a href="http://www.nightvalepresents.com/aliceisntdead/">(website)</a>, <a href="http://aliceisntdead.libsyn.com/rss">(feed)</a>,3,Fiction,weekly,30,Language/Themes
Astronomy Cast,<a href="http://www.astronomycast.com/">(website)</a>, <a href="http://feeds.feedburner.com/astronomycast">(feed)</a>,3,Science,weekly,30,
AVICII - LEVELS PODCAST,, <a href="http://officialaviciipodcast.podtree.com/feed/podcast/">(feed)</a>,1,Music,monthly,60,Language
"Blue Peg, Pink Peg",<a href="https://bluepegpinkpeg.com/">(website)</a>, <a href="http://feeds.feedburner.com/bluepegpinkpeg">(feed)</a>,2,Gaming,semimonthly,60,
Brain Science Podcast,<a href="http://brainsciencepodcast.com/">(website)</a>, <a href="http://brainsciencepodcast.libsyn.com/rss">(feed)</a>,1,Science,monthly,60,
CBC News: Hourly Edition,<a href="http://www.cbc.ca/radio/podcasts/newscasts/cbc-news-hourly-edition/">(website)</a>, <a href="http://www.cbc.ca/podcasting/includes/hourlynews.xml">(feed)</a>,1,News,hourly,10,
<a href="#commonsense">Common Sense with Dan Carlin</a>,<a href="http://www.dancarlin.com/common-sense-home-landing-page/">(website)</a>, <a href="http://feeds.feedburner.com/dancarlin/commonsense?format=xml">(feed)</a>,3,Opinion,sporadic,60,
<a href="#coverville">Coverville</a>,<a href="http://coverville.com/">(website)</a>,<a href="http://feeds.feedburner.com/CovervilleAAC">(feed)</a>,4,Music,weekly,90,
<a href="#criminal">Criminal</a>,<a href="http://thisiscriminal.com/">(website)</a>, <a href="http://feeds.feedburner.com/CriminalShow">(feed)</a>,4,Stories,semimonthly,30,Themes
Current Geek,<a href="http://frogpants.com/podcasts/currentgeek/">(website)</a>, <a href="http://www.myextralife.com/ftp/radio/currentgeek.xml">(feed)</a>,3,Tech/Geek,weekly,60,
Daily Tech News Show,<a href="http://www.dailytechnewsshow.com/">(website)</a>, <a href="http://feeds.feedburner.com/DailyTechNewsShow">(feed)</a>,3,Tech/Geek,daily,45,
<a href="#hardcore">Dan Carlin's Hardcore History</a>,<a href="http://www.dancarlin.com/">(website)</a>, <a href="http://feeds.feedburner.com/dancarlin/history?format=xml">(feed)</a>,4,History,sporadic,60&ndash;300,Themes
Digitalia,<a href="http://digitalia.fm/">(website)</a>, <a href="http://digitalia.fm/digitalia.xml">(feed)</a>,1,Tech/Geek,weekly,90,
DLC,<a href="http://5by5.tv/dlc">(website)</a>, <a href="http://feeds.5by5.tv/dlc">(feed)</a>,3,Gaming,weekly,90&ndash;120,
<a href="#filmsack">Film Sack</a>,<a href="http://filmsack.com/">(website)</a>, <a href="http://www.myextralife.com/ftp/radio/filmsack.xml">(feed)</a>,4,Movies,weekly,60&ndash;90,
<a href="#flip">Flip the Table</a>,<a href="http://tableflipsyou.blogspot.ca/">(website)</a>, <a href="http://flipthetable.libsyn.com/rss">(feed)</a>,4,Gaming,monthly,60,
Freakonomics Radio,<a href="http://freakonomics.com/">(website)</a>, <a href="http://feeds.feedburner.com/freakonomicsradio">(feed)</a>,3,Economics,weekly,45&ndash;60,
Gamers With Jobs Conference Call,<a href="https://www.gamerswithjobs.com/">(website)</a>, <a href="http://www.gamerswithjobs.com/taxonomy/term/408/0/feed">(feed)</a>,3,Gaming,weekly,60,
Global News - BBC,<a href="http://www.bbc.co.uk/programmes/p02nq0gn">(website)</a>, <a href="http://downloads.bbc.co.uk/podcasts/worldservice/globalnews/rss.xml">(feed)</a>,1,News,twice daily,30,
Hidden Brain,<a href="http://www.npr.org/podcasts/510308/hidden-brain">(website)</a>, <a href="http://www.npr.org/rss/podcast.php?id=510308">(feed)</a>,3,Science,weekly,30,
<a href="#hotline">Hotline Monday</a>,<a href="http://frogpants.com/hotlinemonday/">(website)</a>, <a href="http://feeds.frogpants.com/hotlinemonday_feed.xml">(feed)</a>,3,Talk/Pop Culture,weekly,60,
<a href="#hypohelp">Hypothetical Help</a>,<a href="http://frogpants.com/podcasts/hypothetical-help/">(website)</a>, <a href="http://feeds.frogpants.com/hypohelp_feed.xml">(feed)</a>,3,Comedy,weekly,45,Themes
InDesign Secrets,<a href="http://indesignsecrets.com/media_types/podcast">(website)</a>, <a href="http://feeds.feedburner.com/IndesignSecrets">(feed)</a>,1,Miscellaneous,monthly,45,
JuRY,<a href="http://jurytalks.com/">(website)</a>, <a href="http://feeds.feedburner.com/jurytalks/plHl">(feed)</a>,1,Talk/Personal,weekly,60,Language
Le rendez-vous Tech,<a href="http://frenchspin.fr/">(website)</a>, <a href="http://feeds2.feedburner.com/lerendezvoustech">(feed)</a>,1,Tech/Geek,semimonthly,90,
<a href="#lezioni">Lezioni di musica</a>,<a href="http://www.radio3.rai.it/dl/portaleRadio/Programmi/Page-b9c58969-fc31-4d5a-ada7-42a913de64f3.html?section=Main">(website)</a>, <a href="http://www.radio.rai.it/radio3/podcast/rssradio3.jsp?id=5539">(feed)</a>,2,Music,weekly,30,
Ludology,<a href="http://www.ludology.libsyn.com/">(website)</a>, <a href="http://ludology.libsyn.com/rss">(feed)</a>,3,Gaming,weekly,5&ndash;60,
More or Less Behind the Stats,<a href="http://www.bbc.co.uk/programmes/b006qshd">(website)</a>, <a href="http://downloads.bbc.co.uk/podcasts/radio4/moreorless/rss.xml">(feed)</a>,3,Science,weekly,30,
<a href="#fair">Mormon FAIR-Cast</a>,<a href="http://www.fairmormon.org/">(website)</a>, <a href="http://www.fairblog.org/feed/podcast">(feed)</a>,4,Religion,weekly,10&ndash;60,
"My Brother, My Brother And Me",<a href="http://www.maximumfun.org/shows/my-brother-my-brother-and-me">(website)</a>, <a href="http://mbmbam.libsyn.com/rss">(feed)</a>,3,Comedy,weekly,60,Language/Themes
Night Attack Audio Feed,<a href="http://nightattack.tv/">(website)</a>, <a href="http://nightattack.tv/feed/audio">(feed)</a>,1,Comedy,weekly,90,Language/Themes
<a href="#noagenda">No Agenda</a>,<a href="http://www.noagendashow.com/">(website)</a>, <a href="http://feed.nashownotes.com/rss.xml">(feed)</a>,2,Talk/News,Sun/Thu,180,Language
NPR: Planet Money Podcast,<a href="http://www.npr.org/sections/money/">(website)</a>, <a href="http://www.npr.org/rss/podcast.php?id=510289">(feed)</a>,3,Economics,weekly,15&ndash;30,
NPR: Wait Wait Don't Tell Me Podcast,<a href="http://www.npr.org/programs/wait-wait-dont-tell-me/">(website)</a>, <a href="http://www.npr.org/rss/podcast.php?id=35">(feed)</a>,3,Comedy,weekly,60,
NPR: Hourly News Summary,<a href="http://www.npr.org/podcasts/500005/hourly-news-summary">(website)</a>, <a href="http://www.npr.org/rss/podcast.php?id=500005">(feed)</a>,1,News,hourly,10,
<a href="#invisibilia">NPR: Invisibilia Podcast</a>,<a href="http://www.npr.org/podcasts/510307/invisibilia">(website)</a>, <a href="http://www.npr.org/rss/podcast.php?id=510307">(feed)</a>,4,Stories,weekly,60,Themes
NPR: Pop Culture Happy Hour Podcast,<a href="http://www.npr.org/podcasts/510282/pop-culture-happy-hour">(website)</a>, <a href="http://www.npr.org/rss/podcast.php?id=510282">(feed)</a>,1,Culture,weekly,45,
<a href="#debut">Our Debut Album</a>,<a href="http://www.ourdebutalbum.com/">(website)</a>, <a href="http://ourdebutalbum.libsyn.com/rss">(feed)</a>,3,Music,monthly,60,
Pixels,<a href="http://frenchspin.com/">(website)</a>, <a href="http://feeds.feedburner.com/pixelsshow">(feed)</a>,2,Gaming,semimonthly,90,
Plaid Hat Podcast,<a href="http://www.plaidhatgames.com/podcast">(website)</a>, <a href="http://plaidhatpodcast.libsyn.com/rss">(feed)</a>,1,Gaming,semimonthly,60&ndash;90,Language
Politics Politics Politics,<a href="http://www.politicspoliticspolitics.com/">(website)</a>, <a href="http://feeds.feedburner.com/squarespace/WtCx">(feed)</a>,2,Politics,Mon/Wed/Thu,60,Language
Quirks and Quarks Complete Show from CBC Radio,<a href="http://www.cbc.ca/radio/quirks">(website)</a>, <a href="http://www.cbc.ca/podcasting/includes/quirksaio.xml">(feed)</a>,4,Science,weekly,60,
